,Condition,Confluence,Glucose,ReplicateId,Time,Channel
44,CoCulture,5.53907,Low,1,0,Red
45,CoCulture,6.062286,Low,2,0,Red
46,CoCulture,5.151276999999999,Low,3,0,Red
47,CoCulture,6.355341,Low,4,0,Red
92,CoCulture,6.415852,Low,1,6,Red
93,CoCulture,6.943834,Low,2,6,Red
94,CoCulture,5.9546660000000005,Low,3,6,Red
95,CoCulture,7.18491,Low,4,6,Red
140,CoCulture,7.421564,Low,1,12,Red
141,CoCulture,8.050018,Low,2,12,Red
142,CoCulture,6.862186,Low,3,12,Red
143,CoCulture,8.247127,Low,4,12,Red
188,CoCulture,8.349117,Low,1,18,Red
189,CoCulture,9.139485,Low,2,18,Red
190,CoCulture,7.717383,Low,3,18,Red
191,CoCulture,9.248937,Low,4,18,Red
236,CoCulture,9.339289,Low,1,24,Red
237,CoCulture,10.20004,Low,2,24,Red
238,CoCulture,8.583803,Low,3,24,Red
239,CoCulture,10.38013,Low,4,24,Red
284,CoCulture,10.3709,Low,1,30,Red
285,CoCulture,11.39914,Low,2,30,Red
286,CoCulture,9.683908,Low,3,30,Red
287,CoCulture,11.53946,Low,4,30,Red
332,CoCulture,11.54402,Low,1,36,Red
333,CoCulture,12.73614,Low,2,36,Red
334,CoCulture,10.75055,Low,3,36,Red
335,CoCulture,12.68367,Low,4,36,Red
380,CoCulture,12.81412,Low,1,42,Red
381,CoCulture,14.04133,Low,2,42,Red
382,CoCulture,11.89952,Low,3,42,Red
383,CoCulture,13.92704,Low,4,42,Red
428,CoCulture,13.90974,Low,1,48,Red
429,CoCulture,15.28269,Low,2,48,Red
430,CoCulture,13.07931,Low,3,48,Red
431,CoCulture,15.220629999999998,Low,4,48,Red
476,CoCulture,15.23614,Low,1,54,Red
477,CoCulture,16.58343,Low,2,54,Red
478,CoCulture,14.389779999999998,Low,3,54,Red
479,CoCulture,16.209139999999998,Low,4,54,Red
524,CoCulture,16.55632,Low,1,60,Red
525,CoCulture,17.95065,Low,2,60,Red
526,CoCulture,15.69491,Low,3,60,Red
527,CoCulture,17.59225,Low,4,60,Red
572,CoCulture,17.88976,Low,1,66,Red
573,CoCulture,19.27536,Low,2,66,Red
574,CoCulture,17.01098,Low,3,66,Red
575,CoCulture,18.77704,Low,4,66,Red
620,CoCulture,19.230320000000003,Low,1,72,Red
621,CoCulture,20.756970000000003,Low,2,72,Red
622,CoCulture,18.42652,Low,3,72,Red
623,CoCulture,20.0171,Low,4,72,Red
44,CoCulture,5.768678,Low,1,0,Green
45,CoCulture,7.069414999999999,Low,2,0,Green
46,CoCulture,3.393498,Low,3,0,Green
47,CoCulture,9.199478,Low,4,0,Green
92,CoCulture,5.994143,Low,1,6,Green
93,CoCulture,8.202641,Low,2,6,Green
94,CoCulture,3.819387,Low,3,6,Green
95,CoCulture,10.46257,Low,4,6,Green
140,CoCulture,6.671122,Low,1,12,Green
141,CoCulture,9.199926,Low,2,12,Green
142,CoCulture,4.234776,Low,3,12,Green
143,CoCulture,11.67354,Low,4,12,Green
188,CoCulture,7.260928,Low,1,18,Green
189,CoCulture,9.964563,Low,2,18,Green
190,CoCulture,4.662218,Low,3,18,Green
191,CoCulture,12.62928,Low,4,18,Green
236,CoCulture,7.738105,Low,1,24,Green
237,CoCulture,10.40499,Low,2,24,Green
238,CoCulture,4.973406,Low,3,24,Green
239,CoCulture,13.40244,Low,4,24,Green
284,CoCulture,7.937010000000001,Low,1,30,Green
285,CoCulture,10.84069,Low,2,30,Green
286,CoCulture,5.157458999999999,Low,3,30,Green
287,CoCulture,13.57058,Low,4,30,Green
332,CoCulture,7.832049,Low,1,36,Green
333,CoCulture,10.94282,Low,2,36,Green
334,CoCulture,5.194829,Low,3,36,Green
335,CoCulture,13.60456,Low,4,36,Green
380,CoCulture,7.760003,Low,1,42,Green
381,CoCulture,10.89291,Low,2,42,Green
382,CoCulture,5.212927,Low,3,42,Green
383,CoCulture,13.64359,Low,4,42,Green
428,CoCulture,7.638739999999999,Low,1,48,Green
429,CoCulture,10.45017,Low,2,48,Green
430,CoCulture,5.063481,Low,3,48,Green
431,CoCulture,12.89705,Low,4,48,Green
476,CoCulture,7.2888,Low,1,54,Green
477,CoCulture,9.881535,Low,2,54,Green
478,CoCulture,4.870552,Low,3,54,Green
479,CoCulture,12.263,Low,4,54,Green
524,CoCulture,7.100603,Low,1,60,Green
525,CoCulture,9.289553,Low,2,60,Green
526,CoCulture,4.632239,Low,3,60,Green
527,CoCulture,11.3169,Low,4,60,Green
572,CoCulture,6.69561,Low,1,66,Green
573,CoCulture,8.600485,Low,2,66,Green
574,CoCulture,4.277776,Low,3,66,Green
575,CoCulture,10.50236,Low,4,66,Green
620,CoCulture,6.216049,Low,1,72,Green
621,CoCulture,8.034372,Low,2,72,Green
622,CoCulture,4.056973999999999,Low,3,72,Green
623,CoCulture,9.49053,Low,4,72,Green
