Condition,Confluence,Glucose,Time,Channel
ResistantMonoCulture,14.75428,Low,0,Red
ResistantMonoCulture,16.7271775,Low,6,Red
ResistantMonoCulture,19.0142775,Low,12,Red
ResistantMonoCulture,21.172005,Low,18,Red
ResistantMonoCulture,22.9223925,Low,24,Red
ResistantMonoCulture,25.018035,Low,30,Red
ResistantMonoCulture,26.8876075,Low,36,Red
ResistantMonoCulture,28.802335,Low,42,Red
ResistantMonoCulture,30.1618725,Low,48,Red
ResistantMonoCulture,31.127065,Low,54,Red
ResistantMonoCulture,32.2492375,Low,60,Red
ResistantMonoCulture,33.046695,Low,66,Red
ResistantMonoCulture,32.9713075,Low,72,Red
SensitiveMonoCulture,10.14855825,Low,0,Green
SensitiveMonoCulture,12.060918,Low,6,Green
SensitiveMonoCulture,13.83168275,Low,12,Green
SensitiveMonoCulture,15.3307895,Low,18,Green
SensitiveMonoCulture,16.59772,Low,24,Green
SensitiveMonoCulture,17.503255,Low,30,Green
SensitiveMonoCulture,18.117445,Low,36,Green
SensitiveMonoCulture,18.5472325,Low,42,Green
SensitiveMonoCulture,18.6610625,Low,48,Green
SensitiveMonoCulture,18.6203625,Low,54,Green
SensitiveMonoCulture,18.46727,Low,60,Green
SensitiveMonoCulture,18.385995,Low,66,Green
SensitiveMonoCulture,18.32393,Low,72,Green
