,Condition,Confluence,Glucose,ReplicateId,Time,Channel
44,CoCulture,5.53907,Low,1,0,Red
45,CoCulture,6.062286,Low,2,0,Red
46,CoCulture,5.151276999999999,Low,3,0,Red
47,CoCulture,6.355341,Low,4,0,Red
92,CoCulture,6.415852,Low,1,6,Red
93,CoCulture,6.943834,Low,2,6,Red
94,CoCulture,5.9546660000000005,Low,3,6,Red
95,CoCulture,7.18491,Low,4,6,Red
140,CoCulture,7.421564,Low,1,12,Red
141,CoCulture,8.050018,Low,2,12,Red
142,CoCulture,6.862186,Low,3,12,Red
143,CoCulture,8.247127,Low,4,12,Red
188,CoCulture,8.349117,Low,1,18,Red
189,CoCulture,9.139485,Low,2,18,Red
190,CoCulture,7.717383,Low,3,18,Red
191,CoCulture,9.248937,Low,4,18,Red
236,CoCulture,9.339289,Low,1,24,Red
237,CoCulture,10.20004,Low,2,24,Red
238,CoCulture,8.583803,Low,3,24,Red
239,CoCulture,10.38013,Low,4,24,Red
284,CoCulture,10.3709,Low,1,30,Red
285,CoCulture,11.39914,Low,2,30,Red
286,CoCulture,9.683908,Low,3,30,Red
287,CoCulture,11.53946,Low,4,30,Red
332,CoCulture,11.54402,Low,1,36,Red
333,CoCulture,12.73614,Low,2,36,Red
334,CoCulture,10.75055,Low,3,36,Red
335,CoCulture,12.68367,Low,4,36,Red
380,CoCulture,12.81412,Low,1,42,Red
381,CoCulture,14.04133,Low,2,42,Red
382,CoCulture,11.89952,Low,3,42,Red
383,CoCulture,13.92704,Low,4,42,Red
428,CoCulture,13.90974,Low,1,48,Red
429,CoCulture,15.28269,Low,2,48,Red
430,CoCulture,13.07931,Low,3,48,Red
431,CoCulture,15.220629999999998,Low,4,48,Red
476,CoCulture,15.23614,Low,1,54,Red
477,CoCulture,16.58343,Low,2,54,Red
478,CoCulture,14.389779999999998,Low,3,54,Red
479,CoCulture,16.209139999999998,Low,4,54,Red
524,CoCulture,16.55632,Low,1,60,Red
525,CoCulture,17.95065,Low,2,60,Red
526,CoCulture,15.69491,Low,3,60,Red
527,CoCulture,17.59225,Low,4,60,Red
572,CoCulture,17.88976,Low,1,66,Red
573,CoCulture,19.27536,Low,2,66,Red
574,CoCulture,17.01098,Low,3,66,Red
575,CoCulture,18.77704,Low,4,66,Red
620,CoCulture,19.230320000000003,Low,1,72,Red
621,CoCulture,20.756970000000003,Low,2,72,Red
622,CoCulture,18.42652,Low,3,72,Red
623,CoCulture,20.0171,Low,4,72,Red
668,CoCulture,20.52491,Low,1,78,Red
669,CoCulture,21.87034,Low,2,78,Red
670,CoCulture,19.65697,Low,3,78,Red
671,CoCulture,20.9088,Low,4,78,Red
716,CoCulture,21.82226,Low,1,84,Red
717,CoCulture,22.93542,Low,2,84,Red
718,CoCulture,20.99442,Low,3,84,Red
719,CoCulture,21.54368,Low,4,84,Red
764,CoCulture,22.80646,Low,1,90,Red
765,CoCulture,24.15126,Low,2,90,Red
766,CoCulture,22.08074,Low,3,90,Red
767,CoCulture,22.48684,Low,4,90,Red
812,CoCulture,23.74772,Low,1,96,Red
813,CoCulture,25.16982,Low,2,96,Red
